|0|9|9|3|27|35|27|15|21|29|37|23|22|8|
|9|0|4|7|13|22|12|9|7|19|20|15|14|2|
|9|4|0|8|11|25|12|6|7|13|22|13|13|4|
|3|7|8|0|15|28|20|10|14|25|28|24|24|7|
|27|13|11|15|0|7|10|8|7|4|21|5|3|15|
|35|22|25|28|7|0|15|12|11|2|16|6|4|21|
|27|12|12|20|10|15|0|12|3|12|13|17|11|14|
|15|9|6|10|8|12|12|0|5|11|26|9|9|9|
|21|7|7|14|7|11|3|6|0|9|15|9|8|8|
|29|19|13|25|4|2|12|11|9|0|17|5|3|20|
|37|20|22|28|21|16|13|26|15|17|0|19|18|20|
|23|15|13|24|5|6|17|9|9|5|19|0|2|17|
|22|14|13|24|3|4|11|9|8|3|18|2|0|17|
|8|2|4|7|15|21|14|9|8|20|20|17|17|0|
